season,date,home_team,away_team,home_gf,away_gf
20132014,2013-10-01,MTL,TOR,3,4
20132014,2013-10-01,CHI,WSH,6,4
20132014,2013-10-01,EDM,WPG,4,5
20132014,2013-10-02,PHI,TOR,1,3
20132014,2013-10-02,DET,BUF,2,1
20132014,2013-10-02,COL,ANA,6,1
20132014,2013-10-03,BOS,TBL,3,1
20132014,2013-10-03,PIT,NJD,3,0
20132014,2013-10-03,WSH,CGY,5,4
20132014,2013-10-03,MIN,LAK,2,3
20132014,2013-10-03,STL,NSH,4,2
20132014,2013-10-03,DAL,FLA,2,4
20132014,2013-10-03,PHX,NYR,4,1
20132014,2013-10-03,SJS,VAN,4,1
20132014,2013-10-04,BUF,OTT,0,1
20132014,2013-10-04,NJD,NYI,3,4
20132014,2013-10-04,CAR,DET,2,3
20132014,2013-10-04,CBJ,CGY,3,4
20132014,2013-10-04,WPG,LAK,5,3
20132014,2013-10-04,COL,NSH,3,1
20132014,2013-10-05,BOS,DET,4,1
20132014,2013-10-05,TOR,OTT,5,4
20132014,2013-10-05,MTL,PHI,4,1
20132014,2013-10-05,NYI,CBJ,2,3
20132014,2013-10-05,PIT,BUF,4,1
20132014,2013-10-05,CHI,TBL,2,3
20132014,2013-10-05,STL,FLA,7,0
20132014,2013-10-05,DAL,WSH,2,1
20132014,2013-10-05,MIN,ANA,3,4
20132014,2013-10-05,VAN,EDM,6,2
20132014,2013-10-05,SJS,PHX,4,1
20132014,2013-10-06,CAR,PHI,2,1
20132014,2013-10-06,WPG,ANA,2,3
20132014,2013-10-06,CGY,VAN,4,5
20132014,2013-10-07,EDM,NJD,5,4
20132014,2013-10-07,LAK,NYR,1,3
20132014,2013-10-08,TOR,COL,1,2
20132014,2013-10-08,NYI,PHX,6,1
20132014,2013-10-08,PHI,FLA,2,1
20132014,2013-10-08,PIT,CAR,5,2
20132014,2013-10-08,BUF,TBL,2,3
20132014,2013-10-08,NSH,MIN,3,2
20132014,2013-10-08,VAN,NJD,3,2
20132014,2013-10-08,SJS,NYR,9,2
20132014,2013-10-09,STL,CHI,3,2
20132014,2013-10-09,CGY,MTL,3,2
20132014,2013-10-09,LAK,OTT,4,3
20132014,2013-10-10,BOS,COL,0,2
20132014,2013-10-10,BUF,CBJ,1,4
20132014,2013-10-10,WSH,CAR,2,3
20132014,2013-10-10,DET,PHX,2,4
20132014,2013-10-10,TBL,FLA,7,2
20132014,2013-10-10,NSH,TOR,0,4
20132014,2013-10-10,MIN,WPG,2,1
20132014,2013-10-10,EDM,MTL,1,4
20132014,2013-10-10,VAN,SJS,1,4
20132014,2013-10-10,ANA,NYR,6,0
20132014,2013-10-11,PHI,PHX,1,2
20132014,2013-10-11,CAR,LAK,1,2
20132014,2013-10-11,FLA,PIT,6,3
20132014,2013-10-11,CHI,NYI,3,2
20132014,2013-10-11,WPG,DAL,1,4
20132014,2013-10-11,CGY,NJD,3,2
20132014,2013-10-12,CBJ,BOS,1,3
20132014,2013-10-12,TOR,EDM,6,5
20132014,2013-10-12,DET,PHI,5,2
20132014,2013-10-12,TBL,PIT,4,5
20132014,2013-10-12,WSH,COL,1,5
20132014,2013-10-12,CHI,BUF,2,1
20132014,2013-10-12,STL,NYR,5,3
20132014,2013-10-12,NSH,NYI,3,2
20132014,2013-10-12,MIN,DAL,5,1
20132014,2013-10-12,VAN,MTL,1,4
20132014,2013-10-12,SJS,OTT,3,2
20132014,2013-10-13,CAR,PHX,3,5
20132014,2013-10-13,FLA,LAK,0,3
20132014,2013-10-13,WPG,NJD,3,0
20132014,2013-10-13,ANA,OTT,4,1
20132014,2013-10-14,BOS,DET,2,3
20132014,2013-10-14,WSH,EDM,4,2
20132014,2013-10-14,BUF,MIN,1,2
20132014,2013-10-15,TOR,MIN,4,1
20132014,2013-10-15,NYI,BUF,3,4
20132014,2013-10-15,PHI,VAN,2,3
20132014,2013-10-15,PIT,EDM,3,2
20132014,2013-10-15,CAR,CHI,2,3
20132014,2013-10-15,TBL,LAK,5,1
20132014,2013-10-15,DET,CBJ,2,1
20132014,2013-10-15,STL,SJS,2,6
20132014,2013-10-15,NSH,FLA,4,3
20132014,2013-10-15,WPG,MTL,0,3
20132014,2013-10-15,COL,DAL,3,2
20132014,2013-10-15,PHX,OTT,3,4
20132014,2013-10-16,WSH,NYR,0,2
20132014,2013-10-16,ANA,CGY,3,2
20132014,2013-10-17,BUF,VAN,0,3
20132014,2013-10-17,TOR,CAR,2,3
20132014,2013-10-17,NYI,EDM,3,2
20132014,2013-10-17,PHI,PIT,1,4
20132014,2013-10-17,MTL,CBJ,5,3
20132014,2013-10-17,OTT,NJD,5,2
20132014,2013-10-17,TBL,MIN,3,1
20132014,2013-10-17,FLA,BOS,2,3
20132014,2013-10-17,CHI,STL,2,3
20132014,2013-10-17,NSH,LAK,1,2
20132014,2013-10-17,DAL,SJS,4,3
20132014,2013-10-17,COL,DET,2,4
20132014,2013-10-18,WPG,STL,4,3
20132014,2013-10-18,ANA,PHX,3,2
20132014,2013-10-19,PIT,VAN,4,3
20132014,2013-10-19,OTT,EDM,1,3
20132014,2013-10-19,BUF,COL,2,4
20132014,2013-10-19,MTL,NSH,1,2
20132014,2013-10-19,TBL,BOS,0,5
20132014,2013-10-19,FLA,MIN,2,1
20132014,2013-10-19,NJD,NYR,4,0
20132014,2013-10-19,NYI,CAR,3,4
20132014,2013-10-19,WSH,CBJ,4,1
20132014,2013-10-19,CHI,TOR,3,1
20132014,2013-10-19,PHX,DET,5,2
20132014,2013-10-19,SJS,CGY,6,3
20132014,2013-10-19,LAK,DAL,5,2
20132014,2013-10-20,CBJ,VAN,3,1
20132014,2013-10-20,WPG,NSH,1,3
20132014,2013-10-20,ANA,DAL,6,3
20132014,2013-10-21,DET,SJS,0,1
20132014,2013-10-21,PIT,COL,0,1
20132014,2013-10-21,LAK,CGY,2,3
20132014,2013-10-22,TOR,ANA,4,2
20132014,2013-10-22,NYI,VAN,4,5
20132014,2013-10-22,CBJ,NJD,4,1
20132014,2013-10-22,MTL,EDM,3,4
20132014,2013-10-22,FLA,CHI,2,3
20132014,2013-10-22,MIN,NSH,2,0
20132014,2013-10-22,WPG,WSH,4,5
20132014,2013-10-22,PHX,CGY,4,2
20132014,2013-10-23,DET,OTT,1,6
20132014,2013-10-23,BUF,BOS,2,5
20132014,2013-10-24,BOS,SJS,2,1
20132014,2013-10-24,NJD,VAN,2,3
20132014,2013-10-24,PHI,NYR,2,1
20132014,2013-10-24,MTL,ANA,4,1
20132014,2013-10-24,TBL,CHI,6,5
20132014,2013-10-24,NSH,WPG,3,2
20132014,2013-10-24,MIN,CAR,3,1
20132014,2013-10-24,DAL,CGY,5,1
20132014,2013-10-24,EDM,WSH,1,4
20132014,2013-10-24,LAK,PHX,7,4
20132014,2013-10-25,PIT,NYI,3,4
20132014,2013-10-25,CBJ,TOR,5,2
20132014,2013-10-25,OTT,ANA,1,2
20132014,2013-10-25,FLA,BUF,1,3
20132014,2013-10-25,STL,VAN,2,3
20132014,2013-10-25,COL,CAR,4,2
20132014,2013-10-26,PHX,EDM,5,4
20132014,2013-10-26,BOS,NJD,3,4
20132014,2013-10-26,TOR,PIT,4,1
20132014,2013-10-26,MTL,SJS,0,2
20132014,2013-10-26,DET,NYR,2,3
20132014,2013-10-26,TBL,BUF,3,2
20132014,2013-10-26,NYI,PHI,2,5
20132014,2013-10-26,DAL,WPG,1,2
20132014,2013-10-26,CHI,MIN,3,5
20132014,2013-10-26,NSH,STL,1,6
20132014,2013-10-26,CGY,WSH,5,2
20132014,2013-10-27,OTT,SJS,2,5
20132014,2013-10-27,FLA,TBL,3,4
20132014,2013-10-27,CBJ,ANA,3,4
20132014,2013-10-27,COL,WPG,3,2
20132014,2013-10-27,LAK,EDM,2,1
20132014,2013-10-28,BUF,DAL,3,4
20132014,2013-10-28,CAR,PIT,1,3
20132014,2013-10-28,NYR,MTL,0,2
20132014,2013-10-28,MIN,CHI,1,5
20132014,2013-10-28,VAN,WSH,3,2
20132014,2013-10-29,NYI,NYR,2,3
20132014,2013-10-29,PHI,ANA,2,3
20132014,2013-10-29,MTL,DAL,2,1
20132014,2013-10-29,NJD,TBL,2,1
20132014,2013-10-29,CHI,OTT,6,5
20132014,2013-10-29,STL,WPG,3,2
20132014,2013-10-29,EDM,TOR,0,4
20132014,2013-10-29,PHX,LAK,3,1
20132014,2013-10-30,PIT,BOS,3,2
20132014,2013-10-30,CGY,TOR,2,4
20132014,2013-10-30,VAN,DET,1,2
20132014,2013-10-30,LAK,SJS,4,3
20132014,2013-10-31,BOS,ANA,3,2
20132014,2013-10-31,NYR,BUF,2,0
20132014,2013-10-31,PHX,NSH,5,4
20132014,2013-11-01,PHI,WSH,0,7
20132014,2013-11-01,PIT,CBJ,4,2
20132014,2013-11-01,CAR,TBL,0,3
20132014,2013-11-01,OTT,NYI,4,5
20132014,2013-11-01,FLA,STL,0,4
20132014,2013-11-01,MIN,MTL,4,3
20132014,2013-11-01,DAL,COL,2,3
20132014,2013-11-01,CGY,DET,3,4
20132014,2013-11-02,WPG,CHI,1,5
20132014,2013-11-02,BUF,ANA,3,6
20132014,2013-11-02,TBL,STL,4,2
20132014,2013-11-02,NJD,PHI,0,1
20132014,2013-11-02,NYI,BOS,3,1
20132014,2013-11-02,NYR,CAR,5,1
20132014,2013-11-02,WSH,FLA,3,2
20132014,2013-11-02,CBJ,PIT,0,3
20132014,2013-11-02,VAN,TOR,4,0
20132014,2013-11-02,COL,MTL,4,1
20132014,2013-11-02,EDM,DET,0,5
20132014,2013-11-02,LAK,NSH,3,4
20132014,2013-11-02,SJS,PHX,2,3
20132014,2013-11-03,OTT,DAL,3,4
20132014,2013-11-03,CHI,CGY,2,3
20132014,2013-11-03,MIN,NJD,4,0
20132014,2013-11-04,NYR,ANA,1,2
20132014,2013-11-04,WPG,DET,4,2
20132014,2013-11-05,BOS,DAL,2,3
20132014,2013-11-05,WSH,NYI,6,2
20132014,2013-11-05,CBJ,OTT,1,4
20132014,2013-11-05,MTL,STL,2,3
20132014,2013-11-05,FLA,EDM,3,4
20132014,2013-11-05,CAR,PHI,2,1
20132014,2013-11-05,MIN,CGY,5,1
20132014,2013-11-05,PHX,VAN,3,2
20132014,2013-11-05,SJS,BUF,4,5
20132014,2013-11-06,NYR,PIT,5,1
20132014,2013-11-06,CHI,WPG,4,1
20132014,2013-11-06,COL,NSH,4,6
20132014,2013-11-06,ANA,PHX,5,2
20132014,2013-11-07,BOS,FLA,4,1
20132014,2013-11-07,OTT,MTL,4,1
20132014,2013-11-07,PHI,NJD,0,3
20132014,2013-11-07,WSH,MIN,3,2
20132014,2013-11-07,CAR,NYI,1,0
20132014,2013-11-07,CBJ,NYR,2,4
20132014,2013-11-07,DET,DAL,3,4
20132014,2013-11-07,TBL,EDM,4,2
20132014,2013-11-07,STL,CGY,3,2
20132014,2013-11-07,LAK,BUF,2,0
20132014,2013-11-07,SJS,VAN,2,4
20132014,2013-11-08,TOR,NJD,2,1
20132014,2013-11-08,WPG,NSH,5,0
20132014,2013-11-08,COL,CGY,4,2
20132014,2013-11-08,ANA,BUF,6,2
20132014,2013-11-09,PHI,EDM,4,2
20132014,2013-11-09,OTT,FLA,3,2
20132014,2013-11-09,BOS,TOR,3,1
20132014,2013-11-09,DET,TBL,2,3
20132014,2013-11-09,CAR,MIN,2,3
20132014,2013-11-09,CBJ,NYI,5,2
20132014,2013-11-09,STL,PIT,2,1
20132014,2013-11-09,DAL,CHI,2,5
20132014,2013-11-09,PHX,WSH,4,3
20132014,2013-11-09,LAK,VAN,5,1
20132014,2013-11-10,MTL,NYI,4,2
20132014,2013-11-10,NJD,NSH,5,0
20132014,2013-11-10,NYR,FLA,4,3
20132014,2013-11-10,CHI,EDM,5,4
20132014,2013-11-10,WPG,SJS,5,4
20132014,2013-11-10,COL,WSH,4,1
20132014,2013-11-10,ANA,VAN,3,1
20132014,2013-11-11,BOS,TBL,3,0
20132014,2013-11-12,BUF,LAK,3,2
20132014,2013-11-12,NYI,NSH,3,1
20132014,2013-11-12,NYR,NJD,2,3
20132014,2013-11-12,WSH,CBJ,4,3
20132014,2013-11-12,CAR,COL,2,1
20132014,2013-11-12,MTL,TBL,1,2
20132014,2013-11-12,OTT,PHI,0,5
20132014,2013-11-12,DET,WPG,2,3
20132014,2013-11-12,FLA,ANA,3,2
20132014,2013-11-12,STL,PHX,2,3
