date,home_team,away_team,home_gf,away_gf,home_xg_pct,home_cf_pct,away_xg_pct,away_cf_pct,home_goals_for,home_goals_against,away_goals_for,away_goals_against,season
2025-10-07,FLA,CHI,3,2,0.55,0.56,0.43,0.44,246.0,223.0,224.0,292.0,20252026
2025-10-07,NYR,PIT,0,3,0.48,0.5,0.49,0.5,255.0,255.0,242.0,287.0,20252026
2025-10-07,LAK,COL,1,4,0.54,0.53,0.53,0.54,249.0,203.0,273.0,231.0,20252026
2025-10-07,TOR,MTL,5,2,0.49,0.47,0.46,0.47,267.0,229.0,243.0,261.0,20252026
2025-10-07,WSH,BOS,1,3,0.52,0.5,0.48,0.48,286.0,229.0,222.0,271.0,20252026
2025-10-07,EDM,CGY,3,4,0.55,0.54,0.49,0.51,259.0,235.0,220.0,236.0,20252026
2025-10-07,VGK,LAK,5,6,0.54,0.51,0.54,0.53,274.0,214.0,249.0,203.0,20252026
2025-10-07,BOS,CHI,4,3,0.48,0.48,0.43,0.44,222.0,271.0,224.0,292.0,20252026
2025-10-07,BUF,NYR,0,4,0.48,0.5,0.48,0.5,265.0,287.0,255.0,255.0,20252026
2025-10-07,DET,MTL,1,5,0.49,0.48,0.46,0.47,235.0,259.0,243.0,261.0,20252026
2025-10-07,TBL,OTT,4,5,0.53,0.51,0.5,0.51,292.0,216.0,242.0,232.0,20252026
2025-10-07,FLA,PHI,2,1,0.55,0.56,0.51,0.48,246.0,223.0,232.0,283.0,20252026
2025-10-07,PIT,NYI,4,3,0.49,0.5,0.48,0.5,242.0,287.0,222.0,257.0,20252026
2025-10-07,CAR,NJD,6,3,0.55,0.59,0.53,0.52,266.0,230.0,240.0,220.0,20252026
2025-10-07,STL,MIN,0,5,0.49,0.49,0.5,0.48,250.0,231.0,225.0,236.0,20252026
2025-10-07,NSH,CBJ,2,1,0.51,0.52,0.48,0.49,212.0,274.0,267.0,267.0,20252026
2025-10-07,WPG,DAL,4,5,0.53,0.5,0.52,0.5,275.0,190.0,275.0,222.0,20252026
2025-10-07,COL,UTA,2,1,0.5,0.5,0.5,0.5,250.0,250.0,250.0,250.0,20252026
2025-10-07,VAN,CGY,5,1,0.49,0.49,0.49,0.51,233.0,251.0,220.0,236.0,20252026
2025-10-07,SJS,VGK,3,4,0.43,0.46,0.54,0.51,208.0,310.0,274.0,214.0,20252026
2025-10-07,SEA,ANA,3,1,0.47,0.48,0.45,0.46,245.0,262.0,217.0,261.0,20252026
2025-10-07,WPG,LAK,3,2,0.53,0.5,0.54,0.53,275.0,190.0,249.0,203.0,20252026
2025-10-07,CGY,STL,2,4,0.49,0.51,0.49,0.49,220.0,236.0,250.0,231.0,20252026
2025-10-07,BOS,BUF,3,1,0.48,0.48,0.48,0.5,222.0,271.0,265.0,287.0,20252026
2025-10-07,DET,TOR,6,3,0.49,0.48,0.49,0.47,235.0,259.0,267.0,229.0,20252026
2025-10-07,TBL,NJD,3,5,0.53,0.51,0.53,0.52,292.0,216.0,240.0,220.0,20252026
2025-10-07,FLA,OTT,6,2,0.55,0.56,0.5,0.51,246.0,223.0,242.0,232.0,20252026
2025-10-07,NYI,WSH,2,4,0.48,0.5,0.52,0.5,222.0,257.0,286.0,229.0,20252026
2025-10-07,PIT,NYR,1,6,0.49,0.5,0.48,0.5,242.0,287.0,255.0,255.0,20252026
2025-10-07,CAR,PHI,4,3,0.55,0.59,0.51,0.48,266.0,230.0,232.0,283.0,20252026
2025-10-07,CHI,MTL,2,3,0.43,0.44,0.46,0.47,224.0,292.0,243.0,261.0,20252026
2025-10-07,NSH,UTA,2,3,0.5,0.5,0.5,0.5,250.0,250.0,250.0,250.0,20252026
