team,xGoalsPercentage,corsiPercentage,goalsFor,goalsAgainst,season,situation
ANA,0.44,0.44999999999999996,203.0,293.0,2024,all
ARI,0.48,0.48,254.0,274.0,2024,all
BOS,0.5,0.47,263.0,221.0,2024,all
BUF,0.48,0.5,244.0,243.0,2024,all
CAR,0.56,0.59,277.0,211.0,2024,all
CBJ,0.44999999999999996,0.48,234.0,298.0,2024,all
CGY,0.5,0.51,253.0,267.0,2024,all
CHI,0.43,0.44999999999999996,178.0,289.0,2024,all
COL,0.52,0.53,302.0,252.0,2024,all
DAL,0.56,0.53,294.0,232.0,2024,all
DET,0.47,0.47,275.0,273.0,2024,all
EDM,0.57,0.55,292.0,236.0,2024,all
FLA,0.57,0.56,265.0,198.0,2024,all
LAK,0.53,0.53,254.0,210.0,2024,all
MIN,0.52,0.5,248.0,260.0,2024,all
MTL,0.44999999999999996,0.44999999999999996,232.0,281.0,2024,all
NJD,0.5,0.52,264.0,281.0,2024,all
NSH,0.52,0.52,266.0,248.0,2024,all
NYI,0.48,0.47,245.0,258.0,2024,all
NYR,0.52,0.51,278.0,226.0,2024,all
OTT,0.51,0.51,250.0,281.0,2024,all
PHI,0.5,0.52,231.0,258.0,2024,all
PIT,0.53,0.52,253.0,248.0,2024,all
SEA,0.51,0.51,214.0,232.0,2024,all
SJS,0.4000000000000001,0.43,180.0,326.0,2024,all
STL,0.47,0.47,234.0,248.0,2024,all
TBL,0.51,0.51,288.0,267.0,2024,all
TOR,0.52,0.51,298.0,261.0,2024,all
VAN,0.52,0.51,279.0,221.0,2024,all
VGK,0.5,0.49,263.0,243.0,2024,all
WPG,0.5,0.5,259.0,198.0,2024,all
WSH,0.47,0.47,216.0,252.0,2024,all
