"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Chicago Blackhawks","65","3165.1","25","29","11","22","61","0.469","2662","3095","46.24","1968","2331","45.78","1246","1515","45.13","118","148","44.36","117.6","149.37","44.05","1222","1509","44.75","635","796","44.37","106","124","46.09","16.69","84.42","487","670","42.09","299","425","41.30","63","75","45.65","21.07","82.35","735","839","46.70","336","371","47.52","43","49","46.74","12.80","86.79","1575","1784","46.89","548","637","46.24","12","24","33.33","2.19","96.23","9.47","90.23","0.997"
"2","Florida Panthers","65","3022.9333","33","29","3","29","69","0.531","2971","2731","52.10","2149","2033","51.39","1353","1308","50.85","117","138","45.88","137.93","131.62","51.17","1362","1249","52.16","677","663","50.52","101","116","46.54","14.92","82.50","597","568","51.24","357","359","49.86","68","75","47.55","19.05","79.11","765","681","52.90","320","304","51.28","33","41","44.59","10.31","86.51","1738","1602","52.04","612","565","52.00","16","22","42.11","2.61","96.11","8.65","89.45","0.981"
"3","Pittsburgh Penguins","65","3157.2167","32","18","15","31","79","0.608","3106","3016","50.74","2257","2151","51.20","1452","1368","51.49","142","130","52.21","153.37","141.93","51.94","1551","1469","51.36","812","756","51.79","120","108","52.63","14.78","85.71","678","622","52.15","422","378","52.75","69","60","53.49","16.35","84.13","873","847","50.76","390","378","50.78","51","48","51.52","13.08","87.30","1697","1713","49.77","566","554","50.54","22","22","50.00","3.89","96.03","9.78","90.50","1.003"
"4","New York Rangers","65","3221.7667","27","30","8","24","62","0.477","2957","3099","48.83","2041","2223","47.87","1274","1444","46.87","118","124","48.76","132.32","134.94","49.51","1404","1403","50.02","659","725","47.62","98","99","49.75","14.87","86.34","591","547","51.93","334","345","49.19","55","58","48.67","16.47","83.19","813","856","48.71","325","380","46.10","43","41","51.19","13.23","89.21","1732","1798","49.07","551","657","45.61","20","25","44.44","3.63","96.19","9.26","91.41","1.007"
"5","Colorado Avalanche","64","3064.65","44","11","9","41","97","0.758","3577","2798","56.11","2532","2038","55.40","1696","1302","56.57","179","96","65.09","161.91","128.63","55.73","1725","1285","57.31","906","635","58.79","142","74","65.74","15.67","88.35","674","560","54.62","432","345","55.60","86","52","62.32","19.91","84.93","1051","725","59.18","474","290","62.04","56","22","71.79","11.81","92.41","2076","1682","55.24","717","595","54.65","37","22","62.71","5.16","96.30","10.55","92.63","1.032"
"6","Los Angeles Kings","64","3111.8333","26","23","15","22","67","0.523","3185","2905","52.30","2216","2049","51.96","1381","1323","51.07","109","109","50.00","135.33","125.98","51.79","1440","1350","51.61","671","667","50.15","92","83","52.57","13.71","87.56","610","556","52.32","351","332","51.39","59","47","55.66","16.81","85.84","830","794","51.11","320","335","48.85","33","36","47.83","10.31","89.25","1842","1675","52.37","635","574","52.52","17","26","39.53","2.68","95.47","7.89","91.76","0.997"
"7","Montreal Canadiens","64","3061.5167","36","18","10","34","82","0.641","2801","2933","48.85","2010","2027","49.79","1289","1306","49.67","147","131","52.88","136.19","143.58","48.68","1330","1382","49.04","662","692","48.89","114","113","50.22","17.22","83.67","539","620","46.51","333","360","48.05","63","69","47.73","18.92","80.83","791","762","50.93","329","332","49.77","51","44","53.68","15.50","86.75","1605","1607","49.97","562","541","50.95","33","18","64.71","5.87","96.67","11.40","89.97","1.014"
"8","Toronto Maple Leafs","66","3263.25","28","27","11","27","67","0.508","2855","3438","45.37","2126","2509","45.87","1397","1654","45.79","142","168","45.81","134.36","150.29","47.20","1372","1604","46.10","736","841","46.67","120","138","46.51","16.30","83.59","591","668","46.94","399","424","48.48","81","74","52.26","20.30","82.55","781","936","45.49","337","417","44.69","39","64","37.86","11.57","84.65","1678","2004","45.57","572","745","43.43","22","30","42.31","3.85","95.97","10.16","89.84","1.000"
"9","Boston Bruins","65","3082.15","36","23","6","34","78","0.600","2981","3096","49.05","2123","2195","49.17","1362","1406","49.21","140","120","53.85","129.94","149.82","46.45","1362","1433","48.73","678","735","47.98","119","92","56.40","17.55","87.48","551","643","46.15","329","389","45.82","63","58","52.07","19.15","85.09","811","790","50.66","349","346","50.22","56","34","62.22","16.05","90.17","1725","1815","48.73","590","623","48.64","21","28","42.86","3.56","95.51","10.28","91.47","1.017"
"10","Washington Capitals","67","3210.6","33","27","7","32","73","0.545","3175","3131","50.35","2302","2194","51.20","1473","1415","51.00","146","118","55.30","159.93","151.55","51.35","1551","1515","50.59","772","761","50.36","126","99","56.00","16.32","86.99","701","651","51.85","440","401","52.32","80","68","54.05","18.18","83.04","850","864","49.59","332","360","47.98","46","31","59.74","13.86","91.39","1755","1732","50.33","616","594","50.91","20","19","51.28","3.25","96.80","9.91","91.66","1.016"
"11","Calgary Flames","65","3130.1833","26","32","7","24","59","0.454","3153","3091","50.50","2199","2195","50.05","1477","1445","50.55","107","137","43.85","136.06","142.44","48.85","1381","1517","47.65","711","768","48.07","82","119","40.80","11.53","84.51","583","635","47.87","354","396","47.20","48","64","42.86","13.56","83.84","798","882","47.50","357","372","48.97","34","55","38.20","9.52","85.22","1908","1739","52.32","675","582","53.70","25","18","58.14","3.70","96.91","7.24","90.52","0.978"
"12","Edmonton Oilers","66","3285.65","32","26","8","32","72","0.545","3069","3044","50.20","2270","2193","50.86","1520","1390","52.23","142","158","47.33","154.13","146.3","51.30","1479","1545","48.91","789","779","50.32","114","133","46.15","14.45","82.93","655","617","51.49","404","368","52.33","66","77","46.15","16.34","79.08","824","928","47.03","385","411","48.37","48","56","46.15","12.47","86.37","1808","1636","52.50","663","549","54.70","28","25","52.83","4.22","95.45","9.34","88.63","0.980"
"13","Vegas Golden Knights","66","3300.7167","30","22","14","29","74","0.561","3128","2989","51.14","2223","2088","51.57","1465","1270","53.56","143","147","49.31","141.47","128.76","52.35","1469","1397","51.26","747","644","53.70","121","117","50.84","16.20","81.83","650","534","54.90","407","301","57.49","79","73","51.97","19.41","75.75","819","863","48.69","340","343","49.78","42","44","48.84","12.35","87.17","1852","1709","52.01","610","555","52.36","22","30","42.31","3.61","94.59","9.76","88.43","0.982"
"14","Buffalo Sabres","66","3182.3333","40","20","6","37","86","0.652","2982","3141","48.70","2225","2294","49.24","1454","1487","49.44","153","134","53.31","143.66","147.29","49.38","1396","1429","49.42","748","774","49.15","131","115","53.25","17.51","85.14","613","622","49.64","379","397","48.84","80","75","51.61","21.11","81.11","783","807","49.25","369","377","49.46","51","40","56.04","13.82","89.39","1702","1907","47.16","652","633","50.74","22","19","53.66","3.37","97.00","10.52","90.99","1.015"
"15","Detroit Red Wings","66","3219.2","36","23","7","34","79","0.598","3069","3221","48.79","2231","2234","49.97","1441","1436","50.09","111","128","46.44","142.72","142.87","49.97","1374","1540","47.15","723","743","49.32","92","110","45.54","12.72","85.20","585","625","48.35","370","368","50.14","57","69","45.24","15.41","81.25","789","915","46.30","353","375","48.49","35","41","46.05","9.92","89.07","1846","1890","49.41","651","633","50.70","19","18","51.35","2.92","97.16","7.70","91.09","0.988"
"16","Ottawa Senators","64","3052.9667","32","23","9","29","73","0.570","2971","2611","53.22","2153","1833","54.01","1407","1194","54.09","144","129","52.75","138.61","115.39","54.57","1428","1165","55.07","775","597","56.49","121","108","52.84","15.61","81.91","596","498","54.48","395","313","55.79","76","67","53.15","19.24","78.59","832","667","55.50","380","284","57.23","45","41","52.33","11.84","85.56","1723","1535","52.89","561","533","51.28","23","21","52.27","4.10","96.06","10.23","89.20","0.994"
"17","Tampa Bay Lightning","64","3026.8667","40","20","4","36","84","0.656","2975","2622","53.15","2137","1931","52.53","1353","1295","51.10","150","113","57.03","143.76","123.34","53.82","1450","1204","54.63","745","674","52.50","128","94","57.66","17.18","86.05","617","503","55.09","366","346","51.40","80","55","59.26","21.86","84.10","833","701","54.30","379","328","53.61","48","39","55.17","12.66","88.11","1680","1612","51.03","545","549","49.82","21","19","52.50","3.85","96.54","11.09","91.27","1.024"
"18","Philadelphia Flyers","65","3158.0167","31","23","11","23","73","0.562","2644","2895","47.73","1913","2042","48.37","1239","1249","49.80","122","127","49.00","125.86","128.4","49.50","1287","1356","48.69","674","621","52.05","106","107","49.77","15.73","82.77","580","526","52.44","343","296","53.68","54","57","48.65","15.74","80.74","707","830","46.00","331","325","50.46","52","50","50.98","15.71","84.62","1502","1644","47.74","511","565","47.49","16","20","44.44","3.13","96.46","9.85","89.83","0.997"
"19","New York Islanders","65","3132.2167","37","23","5","33","79","0.608","2908","3083","48.54","2124","2200","49.12","1374","1406","49.42","118","119","49.79","135.78","155.07","46.68","1356","1518","47.18","694","792","46.70","99","107","48.06","14.27","86.49","556","692","44.55","333","429","43.70","51","58","46.79","15.32","86.48","800","826","49.20","361","363","49.86","48","49","49.48","13.30","86.50","1744","1698","50.67","624","550","53.15","19","12","61.29","3.04","97.82","8.59","91.54","1.001"
"20","New Jersey Devils","65","3218.3167","32","31","2","28","66","0.508","3161","3000","51.31","2270","2159","51.25","1490","1431","51.01","99","142","41.08","137.7","141.84","49.26","1432","1413","50.33","747","747","50.00","85","119","41.67","11.38","84.07","571","618","48.02","352","384","47.83","46","74","38.33","13.07","80.73","861","795","51.99","395","363","52.11","39","45","46.43","9.87","87.60","1907","1726","52.49","668","610","52.27","14","23","37.84","2.10","96.23","6.64","90.08","0.967"
